match_id,team,player,position,fpl_position,starter,minutes
M0001,Brentford,Caoimhín Kelleher,GK,GK,True,90
M0001,Brentford,Hákon Rafn Valdimarsson,GK,GK,False,0
M0001,Brentford,Nathan Collins,RB,DEF,False,0
M0001,Brentford,Sepp van den Berg,CB,DEF,False,0
M0001,Brentford,Kristoffer Ajer,CB,DEF,True,90
M0001,Brentford,Michael Kayode,LB,DEF,False,0
M0001,Brentford,Rico Henry,CB,DEF,True,90
M0001,Brentford,Aaron Hickey,RB,DEF,False,0
M0001,Brentford,Ethan Pinnock,LB,DEF,True,90
M0001,Brentford,Kim Ji-soo,RB,DEF,True,90
M0001,Brentford,Jannik Schuster,CB,DEF,False,0
M0001,Brentford,Keane Lewis-Potter,DM,MID,False,0
M0001,Brentford,Kevin Schade,CM,MID,False,0
M0001,Brentford,Dango Ouattara,AM,MID,True,90
M0001,Brentford,Mikkel Damsgaard,RW,MID,False,0
M0001,Brentford,Mathias Jensen,LW,MID,False,0
M0001,Brentford,Vitaly Janelt,CM,MID,True,90
M0001,Brentford,Antoni Milambo,AM,MID,False,0
M0001,Brentford,Fábio Freitas Gouveia Carvalho,DM,MID,True,90
M0001,Brentford,Jordan Henderson,DM,MID,False,0
M0001,Brentford,Yehor Yarmoliuk,CM,MID,True,90
M0001,Brentford,Josh Dasilva,AM,MID,True,90
M0001,Brentford,Jaidon Anthony,RW,MID,False,0
M0001,Brentford,Igor Thiago Nascimento Rodrigues,ST,FWD,False,0
M0001,Brentford,Kaye Furo,RW,FWD,False,0
M0001,Brentford,Callum Wilson,LW,FWD,True,90
M0001,Arsenal,David Raya Martín,GK,GK,True,90
M0001,Arsenal,Kepa Arrizabalaga Revuelta,GK,GK,False,0
M0001,Arsenal,Illan Meslier,GK,GK,False,0
M0001,Arsenal,Gabriel dos Santos Magalhães,RB,DEF,False,0
M0001,Arsenal,Jurriën Timber,CB,DEF,False,0
M0001,Arsenal,William Saliba,CB,DEF,True,90
M0001,Arsenal,Riccardo Calafiori,LB,DEF,True,90
M0001,Arsenal,Piero Hincapié,CB,DEF,True,90
M0001,Arsenal,Benjamin White,RB,DEF,True,90
M0001,Arsenal,Cristhian Mosquera,LB,DEF,False,0
M0001,Arsenal,Myles Lewis-Skelly,DM,MID,True,90
M0001,Arsenal,Bukayo Saka,CM,MID,False,0
M0001,Arsenal,Declan Rice,AM,MID,False,0
M0001,Arsenal,Eberechi Eze,RW,MID,False,0
M0001,Arsenal,Martin Ødegaard,LW,MID,True,90
M0001,Arsenal,Noni Madueke,CM,MID,False,0
M0001,Arsenal,Mikel Merino Zazón,AM,MID,False,0
M0001,Arsenal,Gabriel Martinelli Silva,DM,MID,True,90
M0001,Arsenal,Martín Zubimendi Ibáñez,DM,MID,False,0
M0001,Arsenal,Max Dowman,CM,MID,False,0
M0001,Arsenal,Christian Nørgaard,AM,MID,False,0
M0001,Arsenal,Ethan Nwaneri,RW,MID,True,90
M0001,Arsenal,Fábio Ferreira Vieira,LW,MID,False,0
M0001,Arsenal,Reiss Nelson,CM,MID,True,90
M0001,Arsenal,Christos Tzolis,AM,MID,False,0
M0001,Arsenal,Viktor Gyökeres,ST,FWD,False,0
M0001,Arsenal,Kai Havertz,RW,FWD,True,90
M0001,Arsenal,Gabriel Fernando de Jesus,LW,FWD,False,0
M0002,Newcastle,Nick Pope,GK,GK,False,0
M0002,Newcastle,Mark Gillespie,GK,GK,True,90
M0002,Newcastle,Ewen Jaouen,GK,GK,False,0
M0002,Newcastle,Malick Thiaw,RB,DEF,True,90
M0002,Newcastle,Fabian Schär,CB,DEF,False,0
M0002,Newcastle,Sven Botman,CB,DEF,False,0
M0002,Newcastle,Dan Burn,LB,DEF,True,90
M0002,Newcastle,Lewis Hall,CB,DEF,True,90
M0002,Newcastle,Tino Livramento,RB,DEF,True,90
M0002,Newcastle,Alex Murphy,LB,DEF,False,0
M0002,Newcastle,Bruno Guimarães Rodriguez Moura,DM,MID,False,0
M0002,Newcastle,Harvey Barnes,CM,MID,False,0
M0002,Newcastle,Anthony Elanga,AM,MID,False,0
M0002,Newcastle,Jacob Ramsey,RW,MID,False,0
M0002,Newcastle,Jacob Murphy,LW,MID,True,90
M0002,Newcastle,Joelinton Cássio Apolinário de Lira,CM,MID,False,0
M0002,Newcastle,Lewis Miley,AM,MID,True,90
M0002,Newcastle,Joe Willock,DM,MID,True,90
M0002,Newcastle,Bazoumana Touré,DM,MID,False,0
M0002,Newcastle,Sean Steur,CM,MID,True,90
M0002,Newcastle,Aladji Bamba,AM,MID,True,90
M0002,Newcastle,Nick Woltemade,ST,FWD,False,0
M0002,Newcastle,Yoane Wissa,RW,FWD,False,0
M0002,Newcastle,William Osula,LW,FWD,False,0
M0002,Newcastle,Sean Neave,ST,FWD,True,90
M0002,Sunderland,Robin Roefs,GK,GK,True,90
M0002,Sunderland,Anthony Patterson,GK,GK,False,0
M0002,Sunderland,Melker Ellborg,GK,GK,False,0
M0002,Sunderland,Daniel Ballard,RB,DEF,False,0
M0002,Sunderland,Nordi Mukiele,CB,DEF,True,90
M0002,Sunderland,Trai Hume,CB,DEF,False,0
M0002,Sunderland,Omar Alderete,LB,DEF,False,0
M0002,Sunderland,Reinildo Mandava,CB,DEF,False,0
M0002,Sunderland,Jenson Seelt,RB,DEF,True,90
M0002,Sunderland,Leo Fuhr Hjelde,LB,DEF,False,0
M0002,Sunderland,Luke O'Nien,RB,DEF,True,90
M0002,Sunderland,Arthur Masuaku,CB,DEF,False,0
M0002,Sunderland,Thomas Meunier,CB,DEF,True,90
M0002,Sunderland,Enzo Le Fée,DM,MID,True,90
M0002,Sunderland,Habib Diarra,CM,MID,True,90
M0002,Sunderland,Granit Xhaka,AM,MID,False,0
M0002,Sunderland,Noah Sadiki,RW,MID,False,0
M0002,Sunderland,Simon Adingra,LW,MID,True,90
M0002,Sunderland,Romaine Mundle,CM,MID,True,90
M0002,Sunderland,Chris Rigg,AM,MID,False,0
M0002,Sunderland,Chemsdine Talbi,DM,MID,False,0
M0002,Sunderland,Djiamgone Jocelin Ta Bi,DM,MID,False,0
M0002,Sunderland,Nilson Angulo,CM,MID,True,90
M0002,Sunderland,Brian Brobbey,ST,FWD,True,90
M0002,Sunderland,Wilson Isidor,RW,FWD,False,0
M0003,Spurs,Guglielmo Vicario,GK,GK,False,0
M0003,Spurs,Brandon Austin,GK,GK,False,0
M0003,Spurs,Antonín Kinský,GK,GK,True,90
M0003,Spurs,Martin Dubravka,GK,GK,False,0
M0003,Spurs,Jan Paul van Hecke,RB,DEF,True,90
M0003,Spurs,Marcos Senesi Barón,CB,DEF,True,90
M0003,Spurs,Pedro Porro Sauceda,CB,DEF,False,0
M0003,Spurs,Cristian Romero,LB,DEF,False,0
M0003,Spurs,Kevin Danso,CB,DEF,False,0
M0003,Spurs,Andrew Robertson,RB,DEF,True,90
M0003,Spurs,Micky van de Ven,LB,DEF,False,0
M0003,Spurs,Djed Spence,RB,DEF,False,0
M0003,Spurs,Destiny Udogie,CB,DEF,False,0
M0003,Spurs,Ashley Phillips,CB,DEF,False,0
M0003,Spurs,Ben Davies,LB,DEF,True,90
M0003,Spurs,Jun'ai Byfield,CB,DEF,False,0
M0003,Spurs,James Rowswell,RB,DEF,False,0
M0003,Spurs,João Victor de Souza Menezes,LB,DEF,False,0
M0003,Spurs,Sandro Tonali,DM,MID,False,0
M0003,Spurs,Mohammed Kudus,CM,MID,True,90
M0003,Spurs,Xavi Simons,AM,MID,True,90
M0003,Spurs,Mathys Tel,RW,MID,False,0
M0003,Spurs,James Maddison,LW,MID,True,90
M0003,Spurs,Rodrigo Bentancur,CM,MID,True,90
M0003,Spurs,Wilson Odobert,AM,MID,False,0
M0003,Spurs,Pape Matar Sarr,DM,MID,False,0
M0003,Spurs,Conor Gallagher,DM,MID,False,0
M0003,Spurs,Lucas Bergvall,CM,MID,False,0
M0003,Spurs,Dejan Kulusevski,AM,MID,False,0
M0003,Spurs,Archie Gray,RW,MID,False,0
M0003,Spurs,Mikey Moore,LW,MID,False,0
M0003,Spurs,Callum Olusesi,CM,MID,False,0
M0003,Spurs,Mateus Fernandes,AM,MID,True,90
M0003,Spurs,Dominic Solanke-Mitchell,ST,FWD,False,0
M0003,Spurs,Richarlison de Andrade,RW,FWD,True,90
M0003,Spurs,Dane Scarlett,LW,FWD,False,0
M0003,Hull City,Dillon Phillips,GK,GK,True,90
M0003,Hull City,Jack Butland,GK,GK,False,0
M0003,Hull City,Harvey Cartwright,GK,GK,False,0
M0003,Hull City,Thimothée Lo-Tutala,GK,GK,False,0
M0003,Hull City,John Egan,RB,DEF,False,0
M0003,Hull City,Charlie Hughes,CB,DEF,False,0
M0003,Hull City,Semi Ajayi,CB,DEF,True,90
M0003,Hull City,Lewie Coyle,LB,DEF,False,0
M0003,Hull City,Cody Drameh,CB,DEF,False,0
M0003,Hull City,Ryan Giles,RB,DEF,True,90
M0003,Hull City,Matty Jacob,LB,DEF,True,90
M0003,Hull City,Cathal McCarthy,RB,DEF,True,90
M0003,Hull City,Paddy McNair,CB,DEF,False,0
M0003,Hull City,Matt Targett,CB,DEF,False,0
M0003,Hull City,Mohamed Belloumi,DM,MID,False,0
M0003,Hull City,Liam Millar,CM,MID,False,0
M0003,Hull City,Kieran Dowell,AM,MID,True,90
M0003,Hull City,Matt Crooks,RW,MID,False,0
M0003,Hull City,Regan Slater,LW,MID,True,90
M0003,Hull City,Eliot Matazo,CM,MID,False,0
M0003,Hull City,Abdülkadir Ömür,AM,MID,False,0
M0003,Hull City,Abu Kamara,DM,MID,True,90
M0003,Hull City,Óscar Zambrano,DM,MID,True,90
M0003,Hull City,David Akintola,CM,MID,False,0
M0003,Hull City,Darko Gyabi,AM,MID,False,0
M0003,Hull City,Hidemasa Morita,RW,MID,True,90
M0003,Hull City,Oli McBurnie,ST,FWD,True,90
M0003,Hull City,Enis Destan,RW,FWD,False,0
M0003,Hull City,Mason Burstow,LW,FWD,False,0
M0004,Man City,Gianluigi Donnarumma,GK,GK,False,0
M0004,Man City,James Trafford,GK,GK,False,0
M0004,Man City,Marcus Bettinelli,GK,GK,True,90
M0004,Man City,Nico O'Reilly,RB,DEF,False,0
M0004,Man City,Marc Guéhi,CB,DEF,True,90
M0004,Man City,Matheus Nunes,CB,DEF,True,90
M0004,Man City,Rúben dos Santos Gato Alves Dias,LB,DEF,False,0
M0004,Man City,Joško Gvardiol,CB,DEF,True,90
