team,player,fpl_position,synthetic_demo_position,source,season
Arsenal,David Raya Martín,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Kepa Arrizabalaga Revuelta,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Illan Meslier,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Gabriel dos Santos Magalhães,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Jurriën Timber,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,William Saliba,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Riccardo Calafiori,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Piero Hincapié,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Benjamin White,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Cristhian Mosquera,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Myles Lewis-Skelly,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Bukayo Saka,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Declan Rice,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Eberechi Eze,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Martin Ødegaard,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Noni Madueke,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Mikel Merino Zazón,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Gabriel Martinelli Silva,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Martín Zubimendi Ibáñez,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Max Dowman,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Christian Nørgaard,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Ethan Nwaneri,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
