projected_position,team,points,expected_goals,expected_goals_against,goal_difference
1,Liverpool,82.55413936387778,86.24757352135666,37.27178102532282,48.97579249603384
2,Manchester City,76.01089467871618,85.98894044475608,41.41611178125074,44.57282866350534
3,Arsenal,64.34368598486131,66.58628257914349,50.6411684296126,15.945114149530887
4,Chelsea,63.96868487192267,66.64410094041419,51.66590642787519,14.978194512538998
5,Tottenham Hotspur,60.39172544563573,64.66631730322723,56.50191055904324,8.164406744183992
6,AFC Bournemouth,56.886415655029495,53.841006789780586,52.387366918667986,1.4536398711125997
7,Everton,56.76160688257748,57.48584072464779,54.00427766779058,3.4815630568572047
8,Manchester United,55.19166186526294,58.928568626454165,60.985007756346064,-2.056439129891899
9,West Ham United,54.882677616837725,55.422002581379914,51.98114318449152,3.440859396888392
10,Crystal Palace,54.60700479067606,55.037833457324844,50.32340410332811,4.714429353996735
11,Leicester City,53.94001746610472,55.377540894995164,59.26662794701702,-3.889087052021857
12,Newcastle United,51.0558891942307,52.926982197410794,53.05451724790053,-0.12753505048973324
13,Wolverhampton Wanderers,50.76900036460666,56.50071934850232,56.49508395444197,0.005635394060355736
14,Watford,50.57076987303184,52.450509429563105,59.662207501956736,-7.211698072393631
15,Southampton,47.90583710576956,48.67914916752559,60.830824565717116,-12.151675398191529
16,Burnley,45.71351657076142,47.814244620153005,63.961258704686685,-16.14701408453368
17,Brighton & Hove Albion,42.58363392718986,46.37941112783511,67.36082478997986,-20.981413662144746
18,Cardiff City,38.82787893075116,44.16982078410359,65.2365213477825,-21.066700563678907
19,Fulham,33.97124267996877,42.535809154702974,71.13479662538325,-28.59898747068027
20,Huddersfield Town,33.420964784817656,39.446241042216144,72.94815419689827,-33.50191315468213
